cont_classification_task_id,classification_task_id,input_assay_id,catalog_assay_id,catalog_task_id,assay_type,variance_quorum_OK,is_auxiliary,use_in_regression,is_binary,threshold,threshold_method,direction,training_quorum_OK,evaluation_quorum_OK,aggregation_weight,weight,num_total_actives,num_fold_min_actives,num_total_inactives,num_fold_min_inactives,n_tasks,retained_tasks,catalog_check_INFO
81.0,151.0,152,,,OTHER,True,False,True,False,4.7,fixed_adaptive,high,True,True,1.0,0.3333333333333333,13972.0,2621.0,27907.0,5064.0,3.0,3.0,
82.0,152.0,152,,,OTHER,True,True,True,False,5.2,aux_high,high,True,True,0.0,0.3333333333333333,4170.0,765.0,37709.0,6927.0,3.0,3.0,
83.0,153.0,153,,,OTHER,True,True,True,False,5.5,aux_low,high,True,True,0.0,0.3333333333333333,21332.0,3995.0,40163.0,7527.0,3.0,3.0,
84.0,154.0,153,,,OTHER,True,False,True,False,6.0,fixed_adaptive,high,True,True,1.0,0.3333333333333333,12335.0,2279.0,49160.0,9288.0,3.0,3.0,
85.0,155.0,153,,,OTHER,True,True,True,False,6.5,aux_high,high,True,True,0.0,0.3333333333333333,1195.0,213.0,60300.0,11432.0,3.0,3.0,
,156.0,154,,,OTHER,True,True,True,False,4.5,aux_low,high,False,False,0.0,,6272.0,1064.0,0.0,0.0,2.0,2.0,
86.0,157.0,154,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.5,2895.0,518.0,3377.0,546.0,2.0,2.0,
87.0,158.0,154,,,OTHER,True,True,True,False,5.5,aux_high,high,True,True,0.0,0.5,441.0,73.0,5831.0,975.0,2.0,2.0,
,159.0,155,,,OTHER,True,True,True,False,4.39,aux_low,high,False,False,0.0,,83.0,12.0,0.0,0.0,1.0,1.0,
88.0,160.0,155,,,OTHER,True,False,True,False,4.89,median,high,True,False,0.0,1.0,48.0,6.0,35.0,3.0,1.0,1.0,
,161.0,155,,,OTHER,True,True,True,False,5.39,aux_high,high,False,False,0.0,,2.0,0.0,81.0,12.0,1.0,1.0,
89.0,162.0,156,,,OTHER,True,True,True,False,4.5,aux_low,high,True,True,0.0,0.3333333333333333,44596.0,8058.0,7035.0,1256.0,3.0,3.0,
90.0,163.0,156,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.3333333333333333,23346.0,4164.0,28285.0,5039.0,3.0,3.0,
91.0,164.0,156,,,OTHER,True,True,True,False,5.5,aux_high,high,True,True,0.0,0.3333333333333333,10356.0,1850.0,41275.0,7306.0,3.0,3.0,
92.0,165.0,157,,,OTHER,True,True,True,False,4.5,aux_low,high,True,False,0.0,0.3333333333333333,139.0,24.0,40.0,4.0,3.0,3.0,
93.0,166.0,157,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.3333333333333333,89.0,14.0,90.0,12.0,3.0,3.0,
94.0,167.0,157,,,OTHER,True,True,True,False,5.5,aux_high,high,True,False,0.0,0.3333333333333333,30.0,3.0,149.0,27.0,3.0,3.0,
,168.0,158,,,OTHER,True,True,True,False,4.5,aux_low,high,False,False,0.0,,440.0,69.0,8.0,1.0,2.0,2.0,
95.0,169.0,158,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.5,355.0,57.0,93.0,13.0,2.0,2.0,
96.0,170.0,158,,,OTHER,True,True,True,False,5.5,aux_high,high,True,True,0.0,0.5,177.0,27.0,271.0,43.0,2.0,2.0,
97.0,171.0,159,,,OTHER,True,True,True,False,4.5,aux_low,high,True,False,0.0,0.5,200.0,35.0,32.0,2.0,2.0,2.0,
98.0,172.0,159,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.5,113.0,19.0,119.0,18.0,2.0,2.0,
,173.0,159,,,OTHER,True,True,True,False,5.5,aux_high,high,False,False,0.0,,18.0,2.0,214.0,34.0,2.0,2.0,
99.0,174.0,161,,,OTHER,True,True,True,False,4.5,aux_low,high,True,False,0.0,0.3333333333333333,143.0,20.0,67.0,9.0,3.0,3.0,
100.0,175.0,161,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,True,1.0,0.3333333333333333,114.0,10.0,96.0,11.0,3.0,3.0,
101.0,176.0,161,,,OTHER,True,True,True,False,5.5,aux_high,high,True,False,0.0,0.3333333333333333,71.0,4.0,139.0,22.0,3.0,3.0,
102.0,177.0,162,,,OTHER,True,True,True,False,4.5,aux_low,high,True,True,0.0,0.3333333333333333,514.0,97.0,188.0,33.0,3.0,3.0,
